word,tags1,tags2
了解,HSK 4,TOCFL 2
予,TOCFL 5,
予以,HSK 7,TOCFL 5
事,HSK 1,TOCFL 2
事件,HSK 3,TOCFL 4
事先,HSK 4,TOCFL 4
事務,HSK 7,TOCFL 5
事務所,HSK 7,
事宜,HSK 7,TOCFL 5
事實,HSK 3,TOCFL 3
事實上,HSK 3,TOCFL 4
事後,HSK 6,
事情,HSK 2,TOCFL 2
事態,HSK 7,TOCFL 5
事故,HSK 3,TOCFL 5
事業,HSK 3,TOCFL 3
事物,HSK 4,TOCFL 4
事變,TOCFL 5,
事跡,HSK 7,
事項,HSK 7,
二,HSK 1,TOCFL 1
二手,HSK 4,
二手車,HSK 7,
二氧化碳,HSK 7,
二維碼,HSK 5,
于,TOCFL 5,
互信,HSK 7,
互助,HSK 7,TOCFL 4
互動,HSK 6,TOCFL 5
互惠,TOCFL 5,
互相,HSK 3,TOCFL 3
互聯網,HSK 3,
互補,HSK 7,TOCFL 5
互訪,HSK 7,
五,HSK 1,TOCFL 1
五星級,HSK 7,
五花八門,HSK 7,
五金,TOCFL 5,
五顏六色,HSK 4,
井,HSK 6,TOCFL 5
些,HSK 4,
亞洲,TOCFL 5,
亞軍,HSK 5,TOCFL 5
亞運會,HSK 4,
亡國,TOCFL 5,
亡羊補牢,HSK 7,
交,HSK 2,TOCFL 2
交付,HSK 7,
交代,HSK 5,TOCFL 4
交叉,HSK 7,
交友,TOCFL 3,
交往,HSK 3,TOCFL 4
交情,HSK 7,TOCFL 5
交接,HSK 7,
交換,HSK 4,TOCFL 4
交易,HSK 3,TOCFL 4
交替,HSK 7,
交朋友,HSK 2,
交流,HSK 3,TOCFL 3
交涉,HSK 7,TOCFL 5
交界,HSK 7,
交納,HSK 7,
交給,HSK 2,
交談,HSK 7,TOCFL 5
交警,HSK 3,
交貨,TOCFL 5,
交費,HSK 3,
交通,HSK 2,TOCFL 2
交鋒,HSK 7,
交錯,TOCFL 5,
交際,HSK 4,TOCFL 4
交集,HSK 7,TOCFL 5
交響樂,HSK 7,
交頭接耳,HSK 7,
亦,HSK 7,TOCFL 5
享,HSK 7,
享受,HSK 5,TOCFL 4
享有,HSK 7,TOCFL 4
京劇,HSK 3,TOCFL 4
亮,HSK 2,TOCFL 3
亮相,HSK 7,
亮麗,HSK 7,
亮點,HSK 7,
人,HSK 1,TOCFL 1
人事,HSK 7,TOCFL 4
人人,TOCFL 3,
人們,HSK 2,TOCFL 3
人力,HSK 5,TOCFL 4
人口,HSK 2,TOCFL 3
人品,HSK 7,
人員,HSK 3,TOCFL 4
人均,HSK 7,
人士,HSK 5,TOCFL 5
人家,HSK 4,TOCFL 3
人工,HSK 3,TOCFL 4
人工智能,HSK 7,
人心,TOCFL 4,
人性,HSK 7,
人情,HSK 7,TOCFL 5
人情味,TOCFL 4,
人情味兒,TOCFL 4,
人手,HSK 7,TOCFL 5
人才,HSK 3,TOCFL 4
人數,HSK 2,TOCFL 3
人文,HSK 7,
人格,HSK 7,TOCFL 4
人權,HSK 6,TOCFL 4
人次,HSK 7,TOCFL 5
人民,HSK 3,TOCFL 3
人民幣,HSK 3,
人氣,HSK 7,
人為,HSK 7,
人物,HSK 5,TOCFL 3
人生,HSK 3,TOCFL 4
人禍,TOCFL 5,
人緣兒,HSK 7,
人群,HSK 3,TOCFL 5
人行道,HSK 7,TOCFL 4
人質,HSK 7,
人身,HSK 7,
人造,HSK 7,TOCFL 5
人道,HSK 7,TOCFL 5
人選,HSK 7,TOCFL 5
人間,HSK 5,TOCFL 3
人際,TOCFL 5,
人類,HSK 3,TOCFL 3
人體,HSK 7,TOCFL 4
什麼,HSK 1,TOCFL 1
什麼樣,HSK 2,
仁愛,TOCFL 5,
仁慈,HSK 7,
仇,HSK 7,TOCFL 5
仇人,HSK 7,
仇恨,HSK 7,TOCFL 5
今天,HSK 1,TOCFL 1
今年,HSK 1,TOCFL 1
今後,HSK 2,TOCFL 4
今日,HSK 5,
介入,HSK 7,TOCFL 5
介意,HSK 7,
介於,HSK 7,
介紹,HSK 1,TOCFL 1
仍,HSK 3,TOCFL 3
仍然,HSK 3,TOCFL 3
仍舊,HSK 5,
仔細,HSK 5,TOCFL 3
仕女,TOCFL 5,
他,HSK 1,TOCFL 1
他人,HSK 7,TOCFL 5
他們,HSK 1,TOCFL 1
付,HSK 3,TOCFL 2
付出,HSK 4,TOCFL 3
付款,HSK 7,TOCFL 5
付費,HSK 7,
仙丹,TOCFL 5,
仙女,HSK 7,
仙鶴,HSK 7,
代,HSK 3,TOCFL 4
代價,HSK 5,TOCFL 4
代替,HSK 4,TOCFL 3
代溝,TOCFL 4,
代理,HSK 5,TOCFL 4
代理人,HSK 7,
代號,HSK 7,
代表,HSK 3,TOCFL 3
代表團,HSK 3,
代言人,HSK 7,
代課,TOCFL 5,
令,HSK 5,TOCFL 3
以,HSK 7,TOCFL 3
以上,HSK 2,TOCFL 3
以下,HSK 2,TOCFL 3
以來,HSK 3,TOCFL 3
以便,HSK 5,TOCFL 4
以免,HSK 7,TOCFL 3
以內,HSK 4,TOCFL 3
以前,HSK 2,TOCFL 1
以及,HSK 4,TOCFL 4
以外,HSK 2,TOCFL 3
以往,HSK 5,TOCFL 4
以後,HSK 2,TOCFL 1
以為,HSK 2,TOCFL 3
以至,TOCFL 5,
以至於,HSK 7,TOCFL 5
以致,HSK 7,
以致於,TOCFL 5,
以身作則,HSK 7,
仰,HSK 6,TOCFL 5
仰慕,TOCFL 5,
仲裁,HSK 7,
件,HSK 2,TOCFL 1
任,HSK 3,TOCFL 4
任人宰割,HSK 7,
任何,HSK 3,TOCFL 2
任務,HSK 3,TOCFL 3
任命,HSK 7,
任性,TOCFL 4,
任意,HSK 7,TOCFL 5
任期,HSK 7,TOCFL 5
任職,HSK 7,
份,HSK 2,TOCFL 3
份兒,TOCFL 4,
份額,HSK 7,
仿,HSK 7,
仿佛,HSK 6,
仿冒,TOCFL 5,
仿製,HSK 7,
仿造,TOCFL 5,
企圖,HSK 6,TOCFL 4
企業,HSK 4,TOCFL 3
伊斯蘭教,HSK 7,TOCFL 4
休假,HSK 2,TOCFL 4
休克,HSK 7,
休息,HSK 1,TOCFL 1
休想,HSK 7,
休眠,HSK 7,
休閒,HSK 5,TOCFL 4
休養,HSK 7,
伙,HSK 4,
伙伴,HSK 4,TOCFL 5
伙食,HSK 7,
伯伯,HSK 7,TOCFL 3
伯母,HSK 7,TOCFL 4
伯父,HSK 7,TOCFL 4
估價,TOCFL 5,
估算,HSK 7,
估計,HSK 5,TOCFL 4
伴,HSK 7,
伴侶,HSK 7,
伴奏,HSK 7,
伴隨,HSK 7,
伸,HSK 5,TOCFL 4
伸張,HSK 7,TOCFL 5
伸手,HSK 7,TOCFL 4
伸縮,HSK 7,
伺候,HSK 7,TOCFL 5
伺機,HSK 7,
似乎,HSK 4,TOCFL 3
似地,TOCFL 5,
似是而非,HSK 7,
似曾相識,HSK 7,
似的,HSK 4,TOCFL 5
但,HSK 2,TOCFL 3
但是,HSK 2,TOCFL 2
但願,HSK 7,
佇立,TOCFL 5,
位,HSK 2,TOCFL 2
位子,HSK 7,TOCFL 3
位於,HSK 4,TOCFL 4
位置,HSK 4,TOCFL 3
低,HSK 2,TOCFL 3
低下,HSK 7,
低于,HSK 5,
低估,HSK 7,
低價,HSK 7,
低溫,HSK 6,
低潮,TOCFL 4,
低碳,HSK 7,
低調,HSK 7,
低谷,HSK 7,
低迷,HSK 7,
低頭,HSK 6,
住,HSK 1,TOCFL 1
住址,HSK 7,TOCFL 4
住宅,HSK 6,TOCFL 4
住宿,HSK 7,TOCFL 5
住戶,HSK 7,TOCFL 5
住房,HSK 2,
住處,HSK 7,
住院,HSK 2,TOCFL 4
佐料,HSK 7,
佔據,TOCFL 5,
何,TOCFL 5,
何在,TOCFL 5,
何必,HSK 7,TOCFL 4
何時,HSK 7,
何況,HSK 7,TOCFL 4
何苦,HSK 7,
何處,HSK 7,
余,HSK 7,
佛,HSK 6,
佛像,TOCFL 5,
佛教,HSK 6,TOCFL 3
佛經,TOCFL 5,
作,HSK 6,TOCFL 3
作出,HSK 4,
作品,HSK 3,TOCFL 3
作客,HSK 7,
作家,HSK 2,TOCFL 4
作對,HSK 7,
作廢,HSK 6,
作弊,HSK 7,
作怪,TOCFL 5,
作戰,HSK 6,TOCFL 5
作文,HSK 2,TOCFL 4
作業,HSK 2,TOCFL 1
作法,TOCFL 3,
作為,HSK 4,TOCFL 4
作物,HSK 7,TOCFL 5
作用,HSK 2,TOCFL 4
作者,HSK 3,TOCFL 3
作證,TOCFL 5,
作風,HSK 7,TOCFL 5
你,HSK 1,TOCFL 1
你們,HSK 1,TOCFL 1
佩服,HSK 7,TOCFL 4
佳人,TOCFL 5,
佳節,HSK 7,TOCFL 5
併發,TOCFL 5,
併購,HSK 7,
使,HSK 3,TOCFL 4
使勁,HSK 4,TOCFL 5
使命,HSK 7,TOCFL 5
使喚,HSK 7,TOCFL 5
使得,HSK 5,TOCFL 3
使用,HSK 2,TOCFL 3
使節,TOCFL 5,
使者,HSK 7,
侃大山,HSK 7,
來,HSK 1,TOCFL 1
來不及,HSK 4,TOCFL 3
來信,HSK 5,TOCFL 4
來到,HSK 1,
來回,HSK 7,TOCFL 4
來客,TOCFL 5,
來年,HSK 7,
來往,HSK 6,TOCFL 4
來得,TOCFL 5,
來得及,HSK 4,TOCFL 3
來歷,HSK 7,
來源,HSK 4,TOCFL 4
來源於,HSK 7,
來臨,HSK 7,TOCFL 4
來自,HSK 2,TOCFL 4
來訪,HSK 7,
來賓,HSK 7,TOCFL 5
來電,HSK 7,
來龍去脈,HSK 7,
例,TOCFL 5,
例外,HSK 5,TOCFL 4
例如,HSK 2,TOCFL 3
例子,HSK 2,TOCFL 3
侍候,HSK 7,
供,HSK 7,TOCFL 4
供不應求,HSK 7,
供奉,HSK 7,
供應,HSK 4,TOCFL 4
供暖,HSK 7,
供求,HSK 7,
供給,HSK 6,TOCFL 5
供養,TOCFL 5,
依,HSK 7,TOCFL 5
依依不捨,HSK 7,
依據,HSK 5,TOCFL 4
依次,HSK 6,
依法,HSK 5,
依然,HSK 4,TOCFL 4
依照,HSK 5,TOCFL 5
依舊,HSK 5,TOCFL 5
依託,HSK 7,
依賴,HSK 6,TOCFL 5
依靠,HSK 4,TOCFL 3
侮辱,HSK 7,TOCFL 5
侵入,TOCFL 4,
侵占,HSK 7,
侵害,HSK 7,TOCFL 4
侵權,HSK 7,
侵犯,HSK 6,TOCFL 5
侵略,HSK 7,TOCFL 5
侵蝕,TOCFL 5,
侵襲,TOCFL 5,
便,HSK 6,TOCFL 4
便利,HSK 5,TOCFL 4
便利店,HSK 7,
便宜,HSK 2,TOCFL 1
便捷,HSK 7,
便於,HSK 5,
便是,HSK 6,
便條,HSK 5,TOCFL 3
便道,HSK 7,
便飯,HSK 7,
促,TOCFL 5,
促使,HSK 4,TOCFL 5
促成,HSK 7,TOCFL 5
促進,HSK 4,TOCFL 4
促銷,HSK 4,TOCFL 5
俄語,HSK 7,
俊,HSK 7,
俊俏,HSK 7,
俏,TOCFL 5,
俗,HSK 7,TOCFL 4
俗稱,TOCFL 5,
俗話,HSK 7,TOCFL 4
俗話說,HSK 7,TOCFL 4
俗語,HSK 7,TOCFL 5
俘獲,HSK 7,
俘虜,HSK 7,TOCFL 5
保,HSK 3,TOCFL 4
保佑,HSK 7,TOCFL 5
保修,HSK 7,
保健,HSK 6,
保全,TOCFL 5,
保姆,HSK 7,TOCFL 5
保存,HSK 3,TOCFL 4
保守,HSK 4,TOCFL 3
保安,HSK 3,TOCFL 5
保密,HSK 4,
保持,HSK 3,TOCFL 4
保暖,HSK 7,
保留,HSK 3,TOCFL 4
保管,HSK 7,TOCFL 5
保衛,HSK 5,TOCFL 4
保證,HSK 3,TOCFL 3
保護,HSK 3,TOCFL 3
保質期,HSK 7,
保重,HSK 7,TOCFL 5
保障,HSK 7,TOCFL 4
保險,HSK 3,TOCFL 2
保養,HSK 5,TOCFL 3
保鮮,HSK 7,
保齡球,TOCFL 5,
俠義,HSK 7,
信,HSK 2,TOCFL 1
信仰,HSK 6,TOCFL 4
信件,HSK 7,
信任,HSK 3,TOCFL 4
信封,HSK 3,TOCFL 1
信徒,TOCFL 5,
信心,HSK 2,TOCFL 3
信念,HSK 5,TOCFL 5
信息,HSK 2,TOCFL 5
信用,HSK 6,TOCFL 4
信用卡,HSK 2,TOCFL 2
信箱,HSK 5,TOCFL 3
信號,HSK 2,TOCFL 4
信譽,HSK 7,
信貸,HSK 7,
信賴,HSK 7,TOCFL 5
修,HSK 3,TOCFL 3
修女,TOCFL 5,
修建,HSK 5,TOCFL 5
修復,HSK 5,
修改,HSK 3,TOCFL 3
修正,HSK 7,TOCFL 4
修理,HSK 4,TOCFL 3
修築,TOCFL 5,
修補,HSK 7,TOCFL 5
修訂,HSK 7,TOCFL 5
修路,HSK 7,
修車,HSK 6,
修長,HSK 7,
修養,HSK 5,TOCFL 5
俯首,HSK 7,
俱全,TOCFL 5,
俱樂部,HSK 5,TOCFL 4
倆,HSK 4,TOCFL 4
倉庫,HSK 6,TOCFL 4
個,HSK 1,TOCFL 1
個人,HSK 3,TOCFL 3
個兒,HSK 5,TOCFL 3
個別,HSK 4,TOCFL 4
個子,HSK 2,TOCFL 3
個性,HSK 3,TOCFL 4
個數,TOCFL 5,
個案,HSK 7,
個頭兒,HSK 7,
個體,HSK 4,TOCFL 5
倍,HSK 4,TOCFL 4
倍數,TOCFL 5,
們,HSK 1,
倒,HSK 2,TOCFL 3
倒下,HSK 7,
倒塌,HSK 7,
倒數,HSK 7,TOCFL 5
倒是,HSK 5,TOCFL 3
倒楣,TOCFL 4,
倒計時,HSK 7,
倒賣,HSK 7,
倒車,HSK 4,
倒閉,HSK 4,
倒霉,HSK 7,
倔,HSK 7,
倔強,HSK 7,
倘若,HSK 7,TOCFL 5
候選人,HSK 7,TOCFL 5
倚,HSK 7,TOCFL 5
借,HSK 2,TOCFL 2
借助,HSK 7,
借條,HSK 7,
借用,HSK 7,
借貸,TOCFL 5,
借鑒,HSK 6,
倡導,HSK 5,TOCFL 5
倡議,HSK 7,
